日期,小红书_koc,抖音_koc,抖音_直播,微博_热搜位,百度_热搜位,长视频_独家冠名,论坛_大V,央视_黄金档硬广,央视_黄金档冠名,央视频,AI_问答类,天猫_站内,天猫_站外,京东_站内,京东_站外,电梯广告_写字楼,电梯广告_小区,商场大屏,机场,高铁,候车亭,户外广告牌,全域投放量,大促热度,市场竞争指数,品牌大众认知指数,品牌社媒搜索指数,品牌电商搜索指数,品牌线上销量指数,品牌线下销量指数
2022/11/26,3370,2558,921,71920,2543,39041,1139,31103,74461,3973,996,944,779,615,722,7331,8321,41703,35437,44261,5713,8468,39054.51583,25,49,69,57,57,63,96
2022/11/27,3921,4746,738,72149,959,27580,1419,49639,84365,7244,553,700,923,594,573,2897,2457,54100,34804,57408,8932,5882,91059.25887,96,29,28,33,1,75,53
2022/11/28,2227,2440,861,80716,1283,59984,2071,36570,69833,1455,668,717,677,671,632,5241,5100,31129,38927,24475,6525,6378,46508.79559,71,71,93,91,13,71,68
2022/11/29,4522,4139,954,94443,1714,56772,813,81634,56799,9742,912,819,978,649,520,4560,9053,42474,22421,44340,6881,9482,57305.73193,57,9,40,28,4,22,7
2022/11/30,6757,1152,964,92813,1550,45776,1560,52411,57154,1153,740,944,906,736,595,9834,3707,8087,59279,37741,8670,2625,24249.44916,89,35,50,24,40,67,56
2022/12/1,8788,2453,749,51962,1005,12298,2021,35178,83519,7058,791,713,705,849,821,8763,6195,5534,55903,26287,8538,3239,89874.30846,2,45,37,94,49,12,73
2022/12/2,5420,3644,751,83804,2221,10314,1832,98736,77634,9584,943,774,614,818,519,7476,8060,33447,56144,29182,9322,8026,41061.76902,44,10,8,95,4,87,74
2022/12/3,9191,2180,571,60959,1475,23030,1817,71745,57107,1968,663,621,893,898,638,3215,3834,44135,59753,10542,8760,3502,35935.98974,69,61,16,40,14,64,29
2022/12/4,3181,3432,965,52745,2062,57995,2826,64490,61924,3378,894,977,641,699,576,9007,6741,38053,31740,17675,8717,1658,55925.15024,51,54,89,24,12,57,52
2022/12/5,1622,4351,997,38246,2306,35509,1437,54087,79085,7993,793,552,585,501,543,1433,1442,54472,46843,40074,9325,8041,65862.42687,80,79,40,65,56,94,94
2022/12/6,4437,3363,964,19716,1662,22408,1396,49860,68731,9275,611,940,520,843,832,9390,1288,9960,28744,52968,6003,5402,55214.47318,77,94,72,60,87,90,79
2022/12/7,3313,3139,848,26217,2264,77508,163,66773,61612,1302,958,776,844,535,744,5450,3697,28987,40034,44793,5674,4894,46550.07439,39,95,94,48,77,9,70
2022/12/8,2145,3433,661,73133,1046,97629,1396,76516,99819,7333,705,500,542,714,501,8046,9526,18354,34064,28543,9952,3409,21979.12436,40,7,21,97,71,37,26
2022/12/9,8083,764,931,74028,875,18326,1457,41672,85467,1269,999,570,854,608,704,3639,6385,29596,44370,54139,7202,4246,50135.14165,27,46,28,15,79,14,22
2022/12/10,5498,2873,627,9918,1337,24762,195,57794,51905,5558,789,862,903,600,970,4531,1271,30038,34784,25088,8539,1308,16046.2832,26,4,18,46,90,37,17
2022/12/11,8393,3500,965,5938,875,14263,366,59588,61652,4642,590,623,644,756,646,7302,319,55239,14978,13205,8098,2821,86015.78846,2,12,77,67,76,87,14
2022/12/12,3293,1810,972,21967,2628,55197,2481,50815,65673,5269,741,662,633,875,821,4952,2626,31365,24693,31079,8068,1670,29705.08372,68,46,17,87,50,59,47
2022/12/13,5711,3533,662,44669,2993,64080,147,64047,57507,1239,530,675,900,836,611,9060,2008,29432,24960,33041,8744,3710,6461.250905,48,3,42,24,65,79,91
2022/12/14,6268,2563,809,83866,665,90200,790,91112,72035,6957,915,708,654,651,542,9116,9572,6509,22472,55692,6378,8939,25408.57634,59,10,21,18,2,7,77
2022/12/15,7428,812,540,24380,1225,28160,1625,49671,89629,3349,550,967,612,886,826,8054,7231,35166,47239,36684,9237,3129,48250.00092,70,35,35,98,92,16,56
2022/12/16,9700,1899,554,84049,790,19443,740,63122,60670,8743,777,961,680,711,530,3968,2419,48721,25134,28448,5700,2405,25141.97801,27,13,72,52,67,29,23
2022/12/17,8943,1258,652,13565,2297,56242,2592,95740,60524,9665,749,750,828,675,869,4620,9323,35099,28624,47972,6343,6418,55987.07935,88,57,2,4,46,28,77
2022/12/18,2003,676,865,9328,1868,77014,1731,93728,94810,8828,699,828,989,940,621,5349,5138,9339,26638,15685,9159,6097,34257.09877,60,1,5,84,75,70,73
2022/12/19,7947,4926,509,99949,2781,94838,460,78718,93982,4438,948,779,970,747,765,620,887,58401,40489,17180,9093,7166,52008.84486,9,30,55,35,53,0,59
2022/12/20,7460,2924,847,77683,1251,36913,2196,60835,92409,3043,789,562,941,766,658,7035,1413,53709,18122,37246,5371,7931,31186.7343,28,72,81,17,31,19,61
2022/12/21,2749,1628,646,12541,2877,19378,1404,64978,86545,1588,844,996,924,683,640,5989,3333,43162,54890,50669,7738,4955,50963.33095,33,14,9,79,83,80,51
2022/12/22,2341,2476,883,41885,1187,56696,1455,56585,92943,4966,802,598,727,630,890,955,4037,25121,10893,56142,8422,4470,55702.98512,83,53,84,87,76,29,34
2022/12/23,8944,629,679,85666,1509,52569,750,79443,71165,5969,980,562,978,728,565,8021,3039,39399,38377,53008,5370,2241,6581.165949,56,1,72,69,9,11,29
2022/12/24,8006,829,560,38181,2024,16981,641,58803,71753,8954,885,890,888,581,672,5698,5029,5382,26650,12984,9211,2043,34165.97498,34,98,76,1,5,97,6
2022/12/25,2698,1160,557,78248,1568,63563,888,91464,50856,1300,888,629,849,972,678,6272,8499,17379,48239,16211,5902,4248,1424.101856,97,11,22,22,69,12,8
2022/12/26,4742,1687,897,19086,2415,19447,997,43080,72363,7895,855,997,632,758,889,8925,8552,59196,25205,24153,7572,2182,24562.48797,0,92,93,14,40,6,24
2022/12/27,8084,1990,502,79660,2762,29205,2439,64458,94446,5246,742,684,659,522,623,3986,513,40516,33323,21357,5454,7129,31326.28657,43,86,81,31,67,15,85
2022/12/28,9941,818,986,78832,368,10629,1006,60710,70460,8879,703,919,739,528,542,1076,4299,11661,43998,30380,8121,7853,47190.62919,77,27,17,82,82,0,80
2022/12/29,8700,1997,914,37292,1849,23458,1794,72190,91413,6794,661,638,991,626,725,1686,9973,42590,59312,58967,5637,8210,12237.27747,28,63,4,20,86,52,75
2022/12/30,1382,2786,885,20711,2752,17608,1439,41520,87872,2571,612,607,568,770,684,618,8186,57315,10521,41394,5298,1253,6885.184406,96,39,74,99,1,4,75
2022/12/31,4193,4962,892,7175,430,54513,1633,62019,53227,3647,871,965,769,757,768,9149,9129,17887,51711,20317,6253,3810,38740.23236,75,92,8,0,65,25,9
2023/1/1,3814,4654,575,75800,1461,45037,2186,43810,69204,2583,754,899,880,521,797,8377,1866,32338,22978,30412,9964,6477,57860.21929,35,75,14,48,24,33,21
2023/1/2,9359,4989,928,72566,2369,77191,2757,71891,82212,5154,787,513,979,770,728,1183,4827,18043,24360,53116,9725,2022,34251.06572,56,22,30,30,30,0,77
2023/1/3,3980,959,824,27724,999,39462,2473,35667,61755,3099,591,851,605,824,582,3537,2592,18626,34697,29857,6891,4351,34679.32451,31,61,35,51,74,17,80
2023/1/4,2327,3299,952,37558,499,80787,1451,86499,81244,7877,948,880,866,959,547,8912,5863,49083,55697,20303,8556,7262,40521.54979,0,64,31,63,11,30,13
2023/1/5,4538,3856,834,74957,1054,34702,895,61173,84744,3038,974,802,950,609,620,1018,7628,49502,54328,36624,5249,7401,10182.56016,1,89,37,95,60,1,83
2023/1/6,7580,2009,774,38901,1687,75389,1077,88507,87317,8846,520,523,569,605,548,9342,548,35048,50694,32707,9050,9839,418.9100131,99,28,74,98,1,72,85
2023/1/7,6359,2154,771,66001,480,24183,1497,54866,70341,2044,681,756,621,861,903,8503,1740,31086,43373,43514,9646,6342,21790.09967,95,17,42,38,36,36,52
2023/1/8,7984,504,802,17682,2520,81314,2284,39385,61426,3478,575,907,713,649,872,1017,3888,54175,23714,45386,6892,8974,67313.87575,73,97,82,63,31,69,75
2023/1/9,2455,2872,736,74229,1166,85616,1937,79451,71111,9377,783,793,534,827,534,2609,4646,20875,13587,27494,9247,7925,51216.25174,8,67,71,59,18,28,67
2023/1/10,5567,4158,849,78564,1159,36464,1291,50666,74801,4099,744,654,930,796,961,661,3659,39176,32265,32195,5355,9267,12796.94703,96,85,47,82,69,20,21
2023/1/11,8153,2541,941,82751,1719,20792,262,34866,51637,9746,874,634,530,835,790,4422,5706,9995,12792,21629,9948,8913,49456.88906,87,10,77,0,24,5,14
2023/1/12,5580,1516,741,24184,1207,79342,2678,58806,68765,9913,764,631,915,938,720,3028,1598,34765,26128,13991,5227,9651,23247.71953,57,1,64,52,38,55,6
2023/1/13,4300,2381,627,3492,2713,33681,975,34669,75296,7907,897,810,867,759,683,7111,6137,9636,38600,18797,9401,6714,37050.42738,96,0,50,40,84,40,5
2023/1/14,4803,2333,616,90191,478,65760,2995,49646,66633,2196,621,654,913,823,643,3954,5367,52924,58785,27561,6114,5494,50942.53891,32,99,14,98,90,23,89
2023/1/15,9450,1017,918,47253,2825,14475,2698,91042,87100,1828,815,605,747,947,777,7652,1546,19196,21685,43656,5383,4975,78660.42722,87,51,61,70,22,54,90
2023/1/16,1594,1389,558,90341,1997,56497,2108,68104,51366,4628,662,878,889,781,776,2112,8623,5076,49772,55419,6606,4352,42490.831,32,64,84,67,15,76,32
2023/1/17,7655,2676,909,75802,1476,82436,1506,50230,93915,9926,775,734,829,709,747,3018,1343,8172,23640,12770,5216,6916,44638.61927,37,1,21,49,60,22,53
2023/1/18,6283,2779,532,36105,903,59168,2356,45259,79489,7416,530,996,542,998,597,6958,952,28784,51577,51504,7977,1060,29373.46828,25,23,0,30,58,93,93
2023/1/19,4648,4379,577,22808,2798,53406,1641,61390,64767,5110,907,800,744,545,760,1347,9096,34916,14980,35146,9096,6417,65965.79061,59,78,51,82,28,86,62
2023/1/20,8520,2368,630,44694,1839,30527,152,44121,74715,7790,526,721,564,569,627,4673,7934,18675,34597,11500,6451,7522,1571.358888,50,63,46,22,94,51,20
2023/1/21,8128,1707,950,2967,2400,31965,2597,74414,89894,9056,567,984,640,590,557,9366,9983,38768,48723,15688,6057,6225,35056.5579,29,35,25,70,60,0,49
2023/1/22,8013,1670,936,93279,1749,13237,2195,91054,53300,7885,664,674,730,909,832,4918,1767,7196,28820,30315,6796,4292,62768.96685,25,75,34,48,69,11,1
2023/1/23,6322,3729,560,85840,1896,73172,1978,56649,65666,2085,591,912,679,902,780,8968,4956,49561,15029,33769,8986,9813,77672.67264,70,95,71,10,90,46,27
2023/1/24,4287,500,810,69992,2372,92855,942,75312,50374,1384,516,700,588,801,724,4000,6395,40417,22545,43407,5028,8835,26043.11974,90,25,82,14,79,91,29
2023/1/25,3812,3867,790,61671,1710,45940,2071,45855,59448,1377,904,684,811,833,998,2208,8270,52533,57568,52838,5077,6062,1997.536397,27,10,88,69,74,17,5
2023/1/26,7654,1641,653,54456,956,33129,2393,34088,65914,3728,580,746,537,765,936,7202,2679,28312,55044,48075,5001,7114,19359.7185,56,31,91,0,0,89,69
2023/1/27,6024,2915,882,92191,1390,91724,951,62239,67286,7255,540,758,588,860,680,689,509,22177,31495,50868,6495,5708,74335.13204,91,34,21,39,93,8,33
2023/1/28,5207,1348,752,96850,1441,18788,1232,43719,73103,6226,839,999,733,506,873,6570,6463,34757,41350,11980,7838,4827,12904.31764,93,66,38,5,17,96,87
2023/1/29,9277,2726,616,72311,349,11892,1594,56023,72179,3820,532,920,668,907,577,7541,9149,59956,29322,56038,7818,1459,7893.657121,78,50,23,20,69,74,58
2023/1/30,1653,546,755,38351,2685,25224,2974,97388,65139,1369,937,940,686,996,539,8238,4544,52266,18515,34363,6930,4642,80314.79079,61,16,23,55,92,5,24
2023/1/31,8519,3924,694,94533,2306,66737,2398,30990,66324,2064,634,525,536,978,536,8403,9611,9626,26692,57536,7640,5120,47923.37676,33,56,21,53,51,5,51
2023/2/1,3878,2188,912,49392,1472,70462,2459,41861,74230,4367,723,777,899,750,689,3939,5328,16170,11287,58008,6250,5510,15097.51319,11,8,79,54,4,48,30
2023/2/2,4011,3339,999,59841,2417,42299,582,40603,95243,6217,950,826,630,752,702,8835,2082,55122,37255,42907,7202,7540,28540.85398,49,26,73,26,68,93,85
2023/2/3,7951,903,919,4555,414,60834,1092,38399,52739,6195,678,587,836,598,786,2474,3257,22236,45301,24629,8532,8308,83109.9559,89,11,96,62,11,60,11
2023/2/4,1472,4628,582,60306,2796,37123,1748,77736,81896,3274,727,949,596,598,782,6305,6629,20079,54506,41459,7732,8601,38970.66607,19,34,51,97,43,16,90
2023/2/5,7882,4801,822,81034,2027,17356,773,91537,96262,4988,865,916,635,780,627,4495,8041,53169,56043,16739,9162,5555,43250.11126,75,17,26,39,23,24,35
2023/2/6,7143,2920,791,33723,867,33221,2424,31081,91812,6669,749,737,800,681,736,4703,9074,57062,28129,31732,8995,7486,39773.1863,18,21,73,39,98,49,90
2023/2/7,1497,2531,835,59622,308,51023,1286,97591,78574,3730,946,583,535,660,915,1396,9782,32890,10311,49937,6660,5128,50280.18045,90,99,26,0,86,24,3
2023/2/8,3353,2862,673,64145,1698,99840,962,98628,58325,7351,618,681,915,670,743,6551,8856,53159,28177,26998,7359,1717,71730.39163,18,25,26,8,53,11,81
2023/2/9,4528,2395,950,11295,1739,75459,1367,61199,72656,7628,542,828,839,724,538,6562,669,22431,38383,51391,9166,3372,47035.04017,68,55,86,32,68,99,0
2023/2/10,2823,1354,812,85772,1415,95726,2887,31217,80527,8042,532,962,909,938,750,3951,3837,9753,15537,32230,5972,4504,57245.81369,23,67,4,16,29,46,63
2023/2/11,7395,1076,659,24601,1192,20289,1683,58014,63860,9422,866,735,636,663,788,5163,8958,23494,29775,40336,8380,1419,597.8923576,91,20,4,59,28,99,96
2023/2/12,7224,4735,585,85127,1121,65989,2161,96822,86441,4866,694,808,620,591,624,7444,7402,48031,27778,44470,9839,6329,47955.41567,87,3,74,65,45,94,91
2023/2/13,8120,1712,569,32459,1341,21264,1561,67206,69114,4129,930,689,816,503,674,9896,4152,36082,46155,44603,6689,5980,67274.69499,35,50,94,21,1,8,2
2023/2/14,8347,1391,976,17842,716,95272,829,69806,56890,4372,651,720,722,887,531,8783,4623,59810,15978,27267,8932,7001,79279.34977,68,42,36,96,41,30,62
2023/2/15,2772,704,977,11319,1768,77918,134,98390,76899,4666,972,748,917,602,686,7311,7249,11345,12089,59728,5955,6630,42142.62657,70,45,66,66,6,44,85
2023/2/16,6520,515,870,5587,1786,24723,2055,63268,90673,4492,740,687,701,603,740,933,876,34864,37873,47129,7432,5320,14872.71438,33,71,41,23,65,49,4
2023/2/17,8645,2659,940,42062,2864,12679,599,80556,90097,7013,544,812,589,895,829,6704,6525,34036,36428,13152,8852,5009,33070.29908,43,63,69,25,80,45,32
2023/2/18,8346,4491,603,53321,1664,99623,578,99349,59056,9209,909,684,705,952,832,7759,9471,26481,36677,39563,8492,7899,831.679895,86,79,88,69,98,40,43
2023/2/19,3649,3381,956,81197,2036,94053,1770,77876,73554,4328,767,775,513,793,562,3945,9679,13563,52626,31546,8153,6324,62151.07432,57,96,77,44,48,32,27
2023/2/20,6610,3182,716,14386,1867,17639,1545,52676,71593,9202,780,659,908,771,671,4838,4328,18344,52502,54105,6915,7371,27173.2868,40,21,79,94,23,17,11
2023/2/21,9026,899,729,2590,1220,14759,1525,81683,75089,6967,784,800,998,596,505,8158,8901,20836,52084,18359,7828,2346,56702.83724,0,78,18,73,31,47,83
2023/2/22,8224,1592,912,24059,340,97337,2547,57776,73961,7929,814,572,928,600,684,5689,376,39532,25685,34452,7442,4591,56533.13417,44,93,75,62,34,25,14
2023/2/23,3794,3055,680,57610,2819,93900,793,97863,93670,4133,701,848,757,953,507,8077,7198,14354,34366,35392,9986,2788,59351.17284,34,16,97,2,89,91,57
2023/2/24,8378,3548,708,42822,999,17193,605,58051,56768,9253,863,555,617,884,625,2471,8247,43797,59080,43531,8144,1555,54224.23444,31,48,43,65,73,77,63
2023/2/25,1689,614,951,13421,2921,45026,1817,50187,58446,9359,636,864,798,907,687,4926,2094,24705,23095,50653,7901,1308,4660.042747,93,90,85,1,61,83,95
2023/2/26,1807,4594,906,15219,2237,25085,400,60986,56298,6509,638,791,522,739,941,3405,4792,19660,37133,25077,6513,2314,23482.94272,16,5,58,59,51,81,63
2023/2/27,2008,2511,833,54812,2857,64838,2603,93559,95030,4670,918,500,524,686,913,2604,3131,22351,22243,41305,5956,8643,10914.69276,3,3,20,58,40,69,48
2023/2/28,1828,876,799,96152,2574,83958,2794,37114,71566,7859,591,740,872,856,574,6020,8241,52446,56369,34192,6840,7412,74176.4589,4,38,98,42,0,75,47
2023/3/1,9368,2515,790,22842,1653,70471,1039,61403,91832,7928,798,756,656,788,650,6244,1325,13258,10081,32390,7002,1712,17264.05863,60,59,91,58,19,10,93
2023/3/2,1164,4852,909,18742,412,98009,536,98370,77689,5807,595,834,866,746,675,668,1368,12375,28626,37255,9169,4364,25549.60826,50,41,27,87,40,81,77
2023/3/3,6126,3236,825,60341,1246,59241,2813,85278,62882,2959,910,819,516,797,708,2257,2508,24535,51501,28502,5878,1690,27497.17887,57,65,31,31,4,35,33
2023/3/4,6234,4740,787,39328,2287,56326,267,41159,71059,9989,595,837,948,514,842,4391,4806,51505,15642,30852,5152,3981,82708.2441,9,63,96,88,57,11,47
2023/3/5,8422,4525,791,93013,1224,18745,1606,46693,80297,9875,920,695,995,596,527,863,858,40304,28896,45570,9546,6451,39649.82352,53,19,81,10,20,99,51
2023/3/6,4172,3086,556,41410,1221,61832,1917,66947,50323,9737,828,645,646,706,721,5303,6852,20536,14272,24880,9648,8150,40091.90265,10,98,63,96,49,35,47
2023/3/7,8749,2025,525,10919,1179,90545,320,75809,93580,6987,732,851,984,929,822,5710,9716,41344,58832,18545,6463,3219,80706.65397,83,51,62,84,65,71,12
2023/3/8,4191,4852,793,90556,429,42286,923,73149,52937,8634,863,945,745,738,714,4503,3489,24138,46759,43475,5036,5179,68436.39557,32,60,83,81,30,89,28
2023/3/9,6259,4554,653,90576,797,15025,1440,42492,99619,3090,850,644,578,636,817,4973,2438,43877,20098,50379,9203,1074,7562.064742,68,6,59,3,88,51,27
2023/3/10,4365,687,709,91453,788,50755,998,47242,54734,5050,868,681,986,892,884,9182,5783,58473,32650,53710,8223,6631,36704.17874,62,17,55,65,37,6,32
2023/3/11,3209,1276,781,62188,2852,63795,422,81188,62426,9384,743,777,797,923,812,6572,5241,9500,44755,45793,9247,9656,31200.85541,44,16,56,30,42,96,41
2023/3/12,7104,4217,622,67395,1390,24473,1568,50637,81837,8430,789,920,916,565,606,5012,4932,43633,33970,14219,6286,3697,36266.64842,28,4,37,37,41,78,10
2023/3/13,5725,4413,681,43873,350,21412,1710,72475,77263,5599,511,791,556,983,964,4967,9952,59105,37324,18020,6041,1460,86762.38622,57,18,6,33,73,57,32
2023/3/14,2156,4320,659,20617,390,91302,841,33037,88181,4197,842,755,881,948,939,8438,1415,46380,25796,47026,8887,3423,27462.77854,57,47,85,21,47,32,17
2023/3/15,7550,2444,999,77479,414,75801,874,46474,56371,9004,914,937,846,980,885,9568,3078,20666,59089,21284,7904,6467,74299.28968,35,55,51,69,41,54,77
2023/3/16,7648,4830,754,56627,744,78818,1878,44392,93758,7614,599,750,931,946,599,9066,8964,41077,15781,18253,9225,3948,24904.19939,85,48,17,2,93,31,86
2023/3/17,8187,775,591,6957,2124,89923,2195,37642,93535,5901,526,864,517,509,885,4796,1036,25838,26890,53278,8044,2765,31956.25726,29,96,81,96,70,58,45
2023/3/18,1992,568,940,25666,971,43803,1198,81893,83817,9694,902,831,523,720,709,7428,3507,34733,28824,19390,5710,9711,76898.29195,67,62,80,65,32,11,4
2023/3/19,9967,4159,787,14145,1274,45806,2373,72234,74120,4859,548,772,670,851,749,3725,7202,14943,19745,39979,8888,2217,50281.09357,74,67,92,63,14,77,8
2023/3/20,6433,3645,692,46748,2473,18981,1147,51732,89964,5443,959,744,870,651,859,8558,725,23667,30634,31973,9714,9660,29708.6905,99,11,20,1,87,2,4
2023/3/21,2437,522,960,33567,1770,48259,630,30978,78471,1498,854,864,606,790,749,5477,5466,51028,45632,21809,9582,6945,67507.96423,26,41,31,74,66,99,28
2023/3/22,5058,4161,815,48901,2304,55895,1312,82676,65846,2559,588,535,973,873,725,5584,1345,20068,12838,21709,7214,6743,13338.99489,54,21,42,69,80,39,62
2023/3/23,6786,4021,654,18324,2386,15168,296,66826,70720,2360,707,839,929,803,951,2668,5990,37090,17994,29967,6197,9243,33808.33838,84,83,32,33,76,33,63
2023/3/24,8695,1026,706,89822,538,38650,1620,70047,98547,6192,830,721,654,552,742,8847,7102,51482,47078,23296,6216,2519,37402.59863,9,19,79,13,44,16,27
2023/3/25,1096,4167,773,15172,2624,40583,461,55185,93035,4016,986,647,611,782,582,7499,4183,28957,29744,56856,6599,5377,55194.85832,51,60,6,87,73,91,15
2023/3/26,2584,2164,975,54422,2882,77991,2275,41486,67498,6371,546,591,579,815,589,9079,1287,43612,29596,56819,9261,7531,11578.66919,65,12,66,41,78,12,70
2023/3/27,3592,4410,740,82224,847,36349,1891,95937,91651,6616,927,708,894,664,952,6783,8142,14475,21739,31450,9421,6091,46291.9892,67,27,83,41,37,7,37
2023/3/28,7458,2240,906,9934,2526,90705,2829,84703,87827,8863,774,516,700,700,682,1408,8846,40171,19651,14272,8779,2488,41778.71869,57,12,52,80,52,58,25
2023/3/29,5128,561,921,65794,1975,11216,2750,38779,77085,6548,595,651,600,898,782,561,8335,51853,29918,17766,6587,2931,56817.01441,38,79,53,23,90,57,26
2023/3/30,2151,4105,915,28294,878,69325,833,74195,59921,4589,907,500,887,720,715,2279,1804,25479,57564,16938,7115,6386,16264.88582,9,26,24,37,39,92,88
2023/3/31,8229,3479,891,30907,2534,29538,1830,77853,73959,2927,956,812,882,536,624,5313,4966,59836,58462,35071,5009,2492,14911.52299,14,9,82,29,18,24,73
2023/4/1,7517,1456,648,36617,1393,11599,1530,37892,61337,4514,767,859,815,845,923,1241,5010,46658,48644,39251,9285,2649,5673.302769,30,68,3,74,18,83,5
2023/4/2,7392,2278,898,39591,2992,24957,338,74149,53803,2111,634,630,571,919,621,2803,4293,40912,29731,47060,8675,3470,73739.76784,31,41,56,13,1,85,2
2023/4/3,8496,3719,952,96891,1951,29204,2643,64239,68660,8151,994,844,912,662,599,1662,4877,11743,18931,49157,9227,8103,67056.06448,62,65,56,79,38,60,43
2023/4/4,9424,4972,584,87985,1954,13461,524,62911,81134,3828,624,913,753,692,883,9187,4961,23530,36353,50272,5225,3732,31440.48858,53,88,65,5,55,93,16
2023/4/5,7480,2956,978,10788,1326,36874,593,33792,88770,4681,889,891,972,532,965,4455,4068,49877,38002,57996,5653,9939,16030.76728,88,10,98,44,48,17,27
2023/4/6,6333,1497,928,34421,2554,43611,2309,48868,68096,7368,965,859,966,915,695,1894,1105,47223,44399,51925,6187,6872,5941.64601,81,9,29,78,79,68,27
2023/4/7,4936,772,841,35480,1016,33879,1681,84780,68275,2014,566,517,662,743,767,8077,1305,29184,38616,20723,7904,1490,43249.51165,70,40,70,61,18,80,97
2023/4/8,7898,3577,720,79362,973,33139,2461,55810,69672,2302,752,908,979,534,631,9027,616,35779,21682,15053,8192,6714,55531.25609,32,25,83,3,72,74,55
2023/4/9,1194,3086,728,27945,2278,15623,1807,35981,78553,2079,829,644,731,673,770,8650,2174,47323,37527,41299,9292,9056,78878.59556,62,36,68,10,27,74,36
2023/4/10,6248,3149,572,56890,2554,72634,130,36866,75026,9891,772,889,823,502,729,2427,8940,23975,32820,46614,6906,9859,25891.65322,32,36,13,10,97,95,12
2023/4/11,4240,1127,552,49408,637,88978,2068,56364,55285,8494,501,986,701,637,736,6809,6126,36367,20970,30104,9689,6187,55420.74584,43,53,72,23,85,58,23
2023/4/12,9049,3029,540,20859,1006,23291,2058,85844,96347,5318,831,530,578,928,593,1567,3577,23562,35293,22973,7302,5174,19111.99492,32,82,4,5,49,26,5
2023/4/13,2941,766,760,37521,2562,88740,1364,82880,74411,3380,917,919,876,816,764,777,8289,9864,36426,24235,9286,1410,31051.09795,75,96,67,8,3,41,54
2023/4/14,4267,4657,841,3339,2111,75612,422,75770,53322,1823,597,878,888,692,685,8207,4329,38972,25059,54701,9189,1706,55171.06094,19,20,29,84,29,21,83
2023/4/15,4052,1169,571,27044,1903,70046,1726,89133,92384,7853,695,741,868,563,943,8635,8635,48716,15910,40144,5218,3278,1717.058332,67,74,92,33,95,80,92
2023/4/16,2625,1163,741,58699,1804,30946,1010,77700,92878,1183,975,859,520,721,837,6776,8694,44110,57210,31375,5444,9206,71199.10236,53,42,28,79,76,75,65
2023/4/17,1347,3472,685,89743,1587,22526,1314,36601,78932,2397,500,741,737,862,675,1360,5447,26278,16118,50347,9466,9745,26621.60027,32,40,82,40,47,13,12
2023/4/18,2207,2715,868,94019,1643,43482,1012,82221,73600,8746,759,830,818,704,658,5804,6990,50707,27236,29784,7598,5723,72879.24253,41,31,7,77,19,40,25
2023/4/19,2544,3215,755,63261,519,43957,1375,55131,63530,7769,556,844,648,558,919,3484,4323,34734,18504,30278,7023,6345,7865.209144,28,68,57,23,89,37,48
2023/4/20,8993,4799,737,73558,2187,27700,2172,79355,72512,5729,786,568,976,849,942,600,9454,28040,53641,34897,6313,1822,36540.76468,68,20,41,82,18,65,5
2023/4/21,8383,4215,873,57502,1958,77919,2121,70870,69855,1455,529,620,770,913,758,1645,9642,25203,29030,19857,9513,7566,76100.48401,9,34,57,37,41,71,31
2023/4/22,3335,1338,658,27803,494,87870,2304,38092,83275,6939,570,578,577,998,601,7760,3933,11571,50690,43547,8052,2270,84498.08041,82,82,43,5,96,13,83
2023/4/23,8941,1700,657,17136,1643,25689,2859,89588,85775,7016,536,980,786,783,680,1307,6262,27598,30105,22427,8005,9347,11310.03484,75,16,83,1,55,86,51
2023/4/24,5959,785,541,68279,2692,85802,1654,59128,76197,6176,608,606,694,658,750,5467,9242,32396,37963,20502,7705,7336,62090.23229,73,98,3,97,44,51,85
2023/4/25,6870,1204,903,33403,2942,71716,1019,32806,78322,2947,985,586,584,600,533,1343,4777,52807,51389,28766,5632,6026,12654.20695,1,49,70,73,56,83,41
2023/4/26,2525,1675,549,26579,470,56541,1331,40362,65967,4847,531,836,734,772,748,9553,5327,36903,19380,58579,9412,8203,4814.558746,60,91,20,21,9,80,81
2023/4/27,2519,3940,524,55643,1948,55416,281,39955,52491,9174,724,993,926,640,778,8982,3448,27163,24897,59739,9785,3590,4918.551573,81,90,38,80,77,97,93
2023/4/28,5914,801,763,33062,1669,22083,720,87165,63322,8900,763,755,710,816,877,8717,8174,40846,17423,27575,7131,5775,45251.09854,13,27,21,94,19,59,84
2023/4/29,7767,1354,930,59120,819,50467,452,37633,77567,6517,519,914,641,867,816,5011,6424,53304,34154,15583,6613,6728,44321.64495,60,41,88,58,13,4,1
2023/4/30,9879,1814,535,31530,1066,90517,1231,34136,51816,4422,920,593,823,989,760,3353,8955,59700,55458,47322,6180,5969,71406.4333,21,58,62,31,21,83,42
2023/5/1,2718,3075,557,77226,1310,16789,1529,33196,81968,1808,561,936,982,644,659,8655,1537,26667,50310,15426,8821,8763,75821.31702,16,92,62,81,1,95,77
2023/5/2,2254,4090,769,72728,1339,69614,2587,79647,72922,7158,762,799,989,563,917,2795,5246,23779,17926,35560,9390,7216,61213.20596,4,1,19,88,70,51,71
2023/5/3,7948,3705,573,24514,654,18787,2414,90009,98262,9508,911,768,745,783,628,7259,7196,32275,10217,34856,5177,1987,22958.99203,69,37,83,64,17,70,89
